topic_id;words
0;galaxies, galaxy, stars, stellar, star, formation, clusters, dwarf, galactic, dust
1;hall, magnetic, spin, superconductivity, films, superconductors, superconducting, metal, thin, waals
2;collisions, qcd, production, decays, lhc, quark, higgs, tev, heavy, nuclear
3;curvature, surfaces, curves, manifolds, bundles, varieties, conjecture, polynomials, forms, moduli
4;gravity, gauge, theories, inflation, cosmological, holographic, cosmology, string, quantum gravity, holography
5;mimo, wireless, communications, beamforming, communication, iot, massive, intelligent, 6g, 5g
6;graphs, trees, hypergraphs, coloring, cycles, ramsey, chromatic, spanning, bipartite, subgraphs
7;language, language models, large language, reasoning, translation, machine translation, language model, multilingual, llms, word
8;segmentation, medical, mri, medical image, image segmentation, cancer, ct, ultrasound, tumor, brain
9;black, black hole, hole, black holes, holes, gravitational, gravitational wave, gravitational waves, waves, primordial
10;speech, audio, music, speech recognition, speaker, recognition, voice, sound, asr, audiovisual
11;quantum, circuits, quantum circuits, quantum computing, quantum systems, variational quantum, circuit, quantum circuit, manybody, quantum error
12;time series, forecasting, series forecasting, highdimensional, multivariate, carlo, monte carlo, monte, gaussian processes, nonparametric
13;ai, agents, intelligence, artificial intelligence, agent, generative ai, agentic, education, llm, humanai
14;nonconvex, descent, convex, gradient descent, multiobjective, optimization problems, proximal, convex optimization, bayesian optimization, programming
15;algebras, categories, lie, modules, algebra, rings, ideals, graded, hopf, category
16;photonic, optical, cavity, laser, waveguide, photon, fiber, optomechanical, lithium, resonators
17;protein, molecular, dna, drug, cell, chemical, gene, reaction, singlecell, rna
18;spiking, brain, eeg, spiking neural, disease, alzheimers, neuromorphic, alzheimers disease, neurons, neuronal
19;financial, market, pricing, portfolio, stock, volatility, markets, price, trading, risk
20;deep neural, pruning, architecture search, neural architecture, training, architecture, dnn, quantization, relu, convolutional
21;reinforcement learning, reinforcement, policy, offline, multiagent, multiagent reinforcement, deep reinforcement, offline reinforcement, reward, markov decision
22;granular, porous, polymer, droplet, droplets, fracture, suspensions, colloidal, media, polymers
23;electricity, grid, wind, charging, load, power systems, electric, renewable, storage, voltage
24;driving, autonomous, traffic, autonomous driving, planning, trajectory, vehicles, motion planning, trajectory prediction, motion
25;object detection, object, point cloud, cloud, lidar, 3d object, slam, point clouds, odometry, clouds
26;covid19, epidemic, pandemic, covid19 pandemic, infection, spread, disease, sir, virus, transmission
27;domain adaptation, adaptation, label, multilabel, contrastive, domain generalization, semisupervised, augmentation, unsupervised domain, metalearning
28;manipulation, robot, robotic, imitation, locomotion, tactile, robots, imitation learning, grasping, humanoid
29;causal, treatment, causal inference, trials, imputation, survival, quantile, treatment effects, causal discovery, missing
30;dark, dark matter, dark energy, axion, halos, searches, axionlike, ultralight, direct detection, selfinteracting
31;predictive control, optimal control, predictive, model predictive, nonlinear systems, kalman, control problems, control barrier, barrier, linear systems
32;navierstokes, navierstokes equations, galerkin, equations, compressible, element, finite element, discontinuous galerkin, discontinuous, incompressible
33;pulsar, gammaray, xray, bursts, pulsars, grb, radio, burst, timing, emission
34;software, code generation, vulnerability, repair, bug, program, requirements, engineering, software engineering, language
35;splatting, gaussian splatting, depth, depth estimation, 3d gaussian, stereo, monocular, scene, rendering, view synthesis
36;gpu, serverless, cloud, hpc, encryption, riscv, secure, gpus, homomorphic, workloads
37;adversarial, attacks, attack, adversarial attacks, backdoor, adversarial robustness, adversarial examples, adversarial training, defense, examples
38;elliptic, fractional, equations, laplacian, elliptic equations, parabolic, regularity, nonlocal, estimates, singular
39;operators, sobolev, inequalities, banach, inequality, banach spaces, hardy, operator, fourier, weighted
40;clinical, health, medical, depression, healthcare, mental, biomedical, electronic health, language, records
41;face, facial, face recognition, recognition, deepfake, expression, head, talking, avatars, avatar
