Topic,Words,Frequency,Timestamp
-1,"quantum, equations, magnetic, spin, finite",25223,2018-12-29 08:05:16.800
0,"galaxies, galaxy, stars, stellar, star",2346,2018-12-29 08:05:16.800
1,"spin, magnetic, superconductivity, hall, films",1866,2018-12-29 08:05:16.800
2,"collisions, qcd, production, lhc, tev",1641,2018-12-29 08:05:16.800
3,"surfaces, curves, curvature, manifolds, varieties",1675,2018-12-29 08:05:16.800
4,"gravity, gauge, theories, inflation, holographic",1260,2018-12-29 08:05:16.800
5,"mimo, wireless, massive, 5g, communications",900,2018-12-29 08:05:16.800
6,"graphs, hypergraphs, trees, coloring, cycles",892,2018-12-29 08:05:16.800
7,"language, translation, word, machine translation, neural machine",277,2018-12-29 08:05:16.800
8,"segmentation, mri, medical, medical image, ultrasound",494,2018-12-29 08:05:16.800
9,"black, black holes, black hole, holes, hole",643,2018-12-29 08:05:16.800
10,"speech, speaker, speech recognition, music, audio",376,2018-12-29 08:05:16.800
11,"quantum, quantum systems, quantum circuits, circuits, quantum annealing",430,2018-12-29 08:05:16.800
12,"time series, forecasting, carlo, highdimensional, multivariate",543,2018-12-29 08:05:16.800
13,"ai, intelligence, artificial intelligence, agents, citation",198,2018-12-29 08:05:16.800
14,"nonconvex, convex, descent, optimization problems, nonconvex optimization",428,2018-12-29 08:05:16.800
15,"algebras, categories, lie, modules, algebra",587,2018-12-29 08:05:16.800
16,"photonic, optical, cavity, optomechanical, laser",441,2018-12-29 08:05:16.800
17,"protein, cell, dna, molecular, reaction",342,2018-12-29 08:05:16.800
18,"brain, spiking, eeg, spiking neural, neuromorphic",275,2018-12-29 08:05:16.800
19,"financial, pricing, market, volatility, portfolio",267,2018-12-29 08:05:16.800
20,"deep neural, pruning, architecture search, training, architecture",412,2018-12-29 08:05:16.800
21,"reinforcement learning, reinforcement, policy, deep reinforcement, markov decision",224,2018-12-29 08:05:16.800
22,"granular, polymer, porous, suspensions, fracture",390,2018-12-29 08:05:16.800
23,"grid, load, electricity, optimal power, voltage",272,2018-12-29 08:05:16.800
24,"traffic, driving, autonomous, planning, motion planning",223,2018-12-29 08:05:16.800
25,"object detection, object, point cloud, cloud, point clouds",226,2018-12-29 08:05:16.800
26,"epidemic, covid19, infection, virus, spread",115,2018-12-29 08:05:16.800
27,"domain adaptation, adaptation, multilabel, label, semisupervised",229,2018-12-29 08:05:16.800
28,"manipulation, robotic, robot, imitation, locomotion",155,2018-12-29 08:05:16.800
29,"causal, treatment, causal inference, quantile, survival",207,2018-12-29 08:05:16.800
30,"dark, dark matter, dark energy, axion, searches",339,2018-12-29 08:05:16.800
31,"optimal control, predictive control, model predictive, predictive, control problems",201,2018-12-29 08:05:16.800
32,"navierstokes, navierstokes equations, galerkin, equations, compressible",319,2018-12-29 08:05:16.800
33,"pulsar, gammaray, xray, pulsars, bursts",313,2018-12-29 08:05:16.800
34,"software, agile, program, repair, requirements",163,2018-12-29 08:05:16.800
35,"depth, stereo, depth estimation, monocular, splatting",143,2018-12-29 08:05:16.800
36,"serverless, cloud, gpu, storage, stream",262,2018-12-29 08:05:16.800
37,"adversarial, attacks, adversarial examples, adversarial attacks, examples",182,2018-12-29 08:05:16.800
38,"elliptic, fractional, equations, elliptic equations, laplacian",338,2018-12-29 08:05:16.800
39,"operators, sobolev, inequalities, inequality, hardy",306,2018-12-29 08:05:16.800
40,"health, clinical, medical, electronic health, records",106,2018-12-29 08:05:16.800
41,"face, facial, face recognition, recognition, expression",204,2018-12-29 08:05:16.800
42,"graph neural, graph convolutional, graphs, link prediction, node",123,2018-12-29 08:05:16.800
43,"neutrino, neutrinos, mass, oscillations, dark",287,2018-12-29 08:05:16.800
44,"superresolution, image superresolution, denoising, restoration, image compression",149,2018-12-29 08:05:16.800
45,"logic, automata, boolean, logics, modal",286,2018-12-29 08:05:16.800
46,"solar, coronal, flare, magnetic, wind",277,2018-12-29 08:05:16.800
47,"recommendation, recommender, recommender systems, collaborative filtering, recommendations",97,2018-12-29 08:05:16.800
48,"plasma, plasmas, laser, electron, ion",227,2018-12-29 08:05:16.800
49,"federated, federated learning, client, requirements, noniid",19,2018-12-29 08:05:16.800
50,"bilayer, twisted, hall, electronic, quantum hall",318,2018-12-29 08:05:16.800
51,"question, answering, question answering, knowledge, knowledge graph",102,2018-12-29 08:05:16.800
52,"schrodinger, nonlinear schrodinger, equations, wave, operators",247,2018-12-29 08:05:16.800
53,"action, action recognition, recognition, activity recognition, activity",166,2018-12-29 08:05:16.800
54,"visual, visual reasoning, multimodal, reasoning, visionlanguage",27,2018-12-29 08:05:16.800
55,"seismic, climate, precipitation, earthquake, weather",135,2018-12-29 08:05:16.800
56,"turbulence, turbulent, convection, vortex, waves",223,2018-12-29 08:05:16.800
57,"generative adversarial, adversarial networks, attention, gans, transformers",81,2018-12-29 08:05:16.800
58,"uav, aerial, unmanned, uavs, unmanned aerial",145,2018-12-29 08:05:16.800
59,"imagetoimage translation, imagetoimage, translation, style, style transfer",66,2018-12-29 08:05:16.800
60,"groups, subgroups, finite, finite groups, abelian",265,2018-12-29 08:05:16.800
61,"blockchain, contracts, smart contracts, smart, fraud",180,2018-12-29 08:05:16.800
62,"privacy, private, differentially private, differentially, differential privacy",103,2018-12-29 08:05:16.800
63,"games, game, mean field, equilibria, nash",127,2018-12-29 08:05:16.800
64,"brownian, brownian motion, stochastic differential, differential equations, equations",168,2018-12-29 08:05:16.800
65,"codes, decoding, polar, coding, decoder",214,2018-12-29 08:05:16.800
66,"dialogue, dialog, conversation, conversational, gender bias",49,2018-12-29 08:05:16.800
67,"anomaly detection, anomaly, outlier, outlier detection, novelty",68,2018-12-29 08:05:16.800
68,"physicsinformed, differential equations, physicsinformed neural, physics machine, order reduction",38,2018-12-29 08:05:16.800
69,"segmentation, semantic segmentation, semantic, instance, instance segmentation",80,2018-12-29 08:05:16.800
70,"community, community detection, complex networks, centrality, social networks",179,2018-12-29 08:05:16.800
71,"plasmonic, metamaterials, plasmon, metamaterial, surface",167,2018-12-29 08:05:16.800
72,"news, fake, opinion, social, twitter",102,2018-12-29 08:05:16.800
73,"inverse problems, diffusion models, solutions inverse, regularization, study robust",29,2018-12-29 08:05:16.800
74,"supernova, ia, sn, remnant, remnants",162,2018-12-29 08:05:16.800
75,"entanglement, entanglement entropy, multipartite, entangled, quantum",112,2018-12-29 08:05:16.800
76,"boseeinstein, condensate, bose, condensates, superfluid",160,2018-12-29 08:05:16.800
77,"neutron, neutron stars, star, stars, mergers",136,2018-12-29 08:05:16.800
78,"matrices, markov, random matrices, markov chains, levy",162,2018-12-29 08:05:16.800
79,"telescope, astronomy, astronomical, sky, astrophysics",126,2018-12-29 08:05:16.800
