Topic,Words,Frequency,Timestamp
-1,"spin, video, electron, social, thermal",15791,2018-12-29 08:05:16.800
0,"stars, galaxies, dark, stellar, galaxy",10428,2018-12-29 08:05:16.800
1,"algebras, varieties, polynomials, cohomology, elliptic",6729,2018-12-29 08:05:16.800
2,"wireless, mimo, 5g, antenna, beamforming",1495,2018-12-29 08:05:16.800
3,"particles, shear, liquid, turbulence, turbulent",1209,2018-12-29 08:05:16.800
4,"segmentation, mri, ct, clinical, brain",593,2018-12-29 08:05:16.800
5,"speech, audio, speaker, music, speech recognition",481,2018-12-29 08:05:16.800
6,"reinforcement learning, policy, robot, rl, policies",470,2018-12-29 08:05:16.800
7,"vertex, coloring, subgraph, bipartite, planar",926,2018-12-29 08:05:16.800
8,"scene, point cloud, camera, stereo, point clouds",427,2018-12-29 08:05:16.800
9,"brownian, brownian motion, percolation, random walk, stochastic differential",841,2018-12-29 08:05:16.800
10,"games, regret, bandit, players, social",407,2018-12-29 08:05:16.800
11,"gates, qubits, quantum computing, quantum algorithms, quantum computers",267,2018-12-29 08:05:16.800
12,"privacy, federated, private, federated learning, differential privacy",174,2018-12-29 08:05:16.800
13,"spin, hall, magnetization, ferromagnetic, antiferromagnetic",621,2018-12-29 08:05:16.800
14,"captioning, imagetoimage translation, imagetoimage, semantic, gans",182,2018-12-29 08:05:16.800
15,"estimators, posterior, nonparametric, lasso, lowrank",497,2018-12-29 08:05:16.800
16,"superconducting, superconductivity, superconductors, superconductor, majorana",570,2018-12-29 08:05:16.800
17,"pruning, architecture search, nas, accelerators, dnn",386,2018-12-29 08:05:16.800
18,"seismic, earthquake, pdes, earthquakes, reservoir",145,2018-12-29 08:05:16.800
19,"electricity, power flow, renewable, voltage, charging",312,2018-12-29 08:05:16.800
20,"finite element, galerkin, mesh, discontinuous galerkin, discretization",416,2018-12-29 08:05:16.800
21,"semantics, automata, logics, calculus, languages",484,2018-12-29 08:05:16.800
22,"social, news, social media, twitter, fake",211,2018-12-29 08:05:16.800
23,"anomaly detection, hyperspectral, remote sensing, imagery, segmentation",175,2018-12-29 08:05:16.800
24,"developers, agile, software development, source code, bugs",214,2018-12-29 08:05:16.800
25,"monolayer, perovskite, thermal, exciton, films",423,2018-12-29 08:05:16.800
26,"malware, attacks, iot, malicious, intrusion",181,2018-12-29 08:05:16.800
27,"solar, coronal, reconnection, magnetic field, solar wind",365,2018-12-29 08:05:16.800
28,"bell, quantum mechanics, nonlocality, multipartite, contextuality",363,2018-12-29 08:05:16.800
29,"relu, gradient descent, sgd, activation functions, deep networks",221,2018-12-29 08:05:16.800
30,"estimators, treatment effects, trials, causal inference, survival",162,2018-12-29 08:05:16.800
31,"eeg, brain, ecg, fmri, sleep",203,2018-12-29 08:05:16.800
32,"market, stock, volatility, financial, portfolio",232,2018-12-29 08:05:16.800
33,"metasurfaces, plasmonic, metasurface, photonic, scattering",328,2018-12-29 08:05:16.800
34,"traffic, vehicles, vehicle, autonomous driving, autonomous vehicles",156,2018-12-29 08:05:16.800
35,"word, machine translation, languages, sentence, embeddings",161,2018-12-29 08:05:16.800
36,"controller, predictive control, model predictive, mpc, nonlinear systems",155,2018-12-29 08:05:16.800
37,"adversarial, attacks, adversarial examples, adversarial attacks, defense",153,2018-12-29 08:05:16.800
38,"student, education, courses, educational, teaching",100,2018-12-29 08:05:16.800
39,"planning, robots, robot, motion planning, path planning",146,2018-12-29 08:05:16.800
40,"recommendation, recommender, items, recommender systems, item",110,2018-12-29 08:05:16.800
41,"nonconvex, optimization problems, nonsmooth, proximal, inexact",203,2018-12-29 08:05:16.800
42,"atoms, photon, cavity, optomechanical, cooling",262,2018-12-29 08:05:16.800
43,"blockchain, contracts, smart contracts, transactions, bitcoin",219,2018-12-29 08:05:16.800
44,"epidemic, infection, disease, infected, covid19",108,2018-12-29 08:05:16.800
45,"superresolution, video, denoising, deblurring, image compression",146,2018-12-29 08:05:16.800
46,"spiking, neurons, neuromorphic, spiking neural, neuron",180,2018-12-29 08:05:16.800
47,"graphene, bilayer graphene, bilayer, twisted, twisted bilayer",293,2018-12-29 08:05:16.800
48,"pose estimation, action recognition, human pose, video, 3d human",154,2018-12-29 08:05:16.800
49,"graph neural, gnns, gnn, link prediction, node classification",83,2018-12-29 08:05:16.800
50,"manybody, quantum systems, mbl, thermalization, scrambling",198,2018-12-29 08:05:16.800
51,"traffic, urban, mobility, travel, routing",131,2018-12-29 08:05:16.800
52,"navierstokes, navierstokes equations, euler, compressible, incompressible",195,2018-12-29 08:05:16.800
53,"segmentation, object detection, semantic segmentation, semantic, instance segmentation",131,2018-12-29 08:05:16.800
54,"memory buffer, buffer, memory augmented, highreward, compositional reasoning",2,2018-12-29 08:05:16.800
55,"boseeinstein, superfluid, condensate, bose, boseeinstein condensate",239,2018-12-29 08:05:16.800
56,"protein, molecular, drug, proteins, molecules",68,2018-12-29 08:05:16.800
57,"question answering, qa, query, reading comprehension, passage",61,2018-12-29 08:05:16.800
58,"domain adaptation, active learning, unlabeled, multilabel, fewshot",109,2018-12-29 08:05:16.800
59,"language modeling, transformers, trellis, sequence models, recurrent neural",15,2018-12-29 08:05:16.800
60,"face recognition, facial, biometric, fingerprint, deepfake",134,2018-12-29 08:05:16.800
61,"molecular, dft, interatomic, energies, density functional",72,2018-12-29 08:05:16.800
62,"plasma, plasmas, electron, tokamak, ion",126,2018-12-29 08:05:16.800
63,"laser, comb, combs, soliton, photonic",160,2018-12-29 08:05:16.800
64,"key distribution, quantum key, qkd, secure, secret",94,2018-12-29 08:05:16.800
65,"laser, beam, plasma, electron, bunch",158,2018-12-29 08:05:16.800
66,"climate, weather, precipitation, forecasting, forecasts",77,2018-12-29 08:05:16.800
67,"clinical, biomedical, patient, cancer, healthcare",30,2018-12-29 08:05:16.800
68,"oscillators, species, kuramoto, populations, chimera",169,2018-12-29 08:05:16.800
69,"gaze, vr, virtual reality, eye, immersive",70,2018-12-29 08:05:16.800
70,"repair, mds, reedsolomon, hamming, selfdual",169,2018-12-29 08:05:16.800
71,"integrable, orbits, hamiltonian, lax, bifurcation",150,2018-12-29 08:05:16.800
72,"nonhermitian, quantum hall, hall, chern, topological phases",107,2018-12-29 08:05:16.800
73,"community detection, centrality, complex networks, social, stochastic block",147,2018-12-29 08:05:16.800
74,"grain, dislocation, alloys, dislocations, alloy",110,2018-12-29 08:05:16.800
-1,"spin, video, electron, semantic, social",17427,2019-05-14 03:36:00.000
0,"stars, collisions, galaxies, dark, emission",16248,2019-05-14 03:36:00.000
1,"algebras, varieties, polynomials, cohomology, projective",6074,2019-05-14 03:36:00.000
2,"wireless, mimo, 5g, beamforming, antenna",1262,2019-05-14 03:36:00.000
3,"particles, shear, liquid, turbulent, turbulence",1256,2019-05-14 03:36:00.000
4,"segmentation, ct, mri, medical image, clinical",791,2019-05-14 03:36:00.000
5,"speech, audio, speaker, music, emotion",601,2019-05-14 03:36:00.000
6,"reinforcement learning, policy, robot, rl, robots",564,2019-05-14 03:36:00.000
7,"vertex, coloring, planar, bipartite, subgraph",892,2019-05-14 03:36:00.000
8,"point cloud, scene, camera, lidar, stereo",534,2019-05-14 03:36:00.000
9,"brownian, percolation, brownian motion, random walk, levy",847,2019-05-14 03:36:00.000
10,"games, regret, bandit, bandits, nash",463,2019-05-14 03:36:00.000
11,"qubits, gates, quantum circuits, quantum computing, quantum algorithms",243,2019-05-14 03:36:00.000
12,"privacy, federated, private, differential privacy, federated learning",198,2019-05-14 03:36:00.000
13,"spin, hall, magnetization, ferromagnetic, antiferromagnetic",653,2019-05-14 03:36:00.000
14,"captioning, image captioning, semantic, visual question, vqa",223,2019-05-14 03:36:00.000
15,"estimators, posterior, nonparametric, mcmc, lasso",504,2019-05-14 03:36:00.000
16,"superconducting, superconductivity, superconductors, superconductor, majorana",565,2019-05-14 03:36:00.000
17,"pruning, architecture search, cache, nas, accelerators",392,2019-05-14 03:36:00.000
18,"seismic, earthquake, reservoir, physicsinformed, pdes",171,2019-05-14 03:36:00.000
19,"electricity, renewable, voltage, charging, power flow",367,2019-05-14 03:36:00.000
20,"finite element, galerkin, mesh, discretization, discontinuous galerkin",410,2019-05-14 03:36:00.000
21,"automata, semantics, logics, languages, calculus",491,2019-05-14 03:36:00.000
22,"dialogue, news, social, social media, dialog",307,2019-05-14 03:36:00.000
23,"anomaly detection, hyperspectral, remote sensing, change detection, imagery",201,2019-05-14 03:36:00.000
24,"developers, bugs, bug, source code, software development",213,2019-05-14 03:36:00.000
25,"perovskite, monolayer, exciton, ferroelectric, phonon",438,2019-05-14 03:36:00.000
26,"malware, attacks, cyber, iot, malicious",205,2019-05-14 03:36:00.000
27,"solar, coronal, magnetic field, reconnection, solar wind",346,2019-05-14 03:36:00.000
28,"bell, quantum mechanics, inequalities, nonlocality, multipartite",331,2019-05-14 03:36:00.000
29,"relu, gradient descent, sgd, activation functions, dropout",247,2019-05-14 03:36:00.000
30,"trials, causal inference, treatment effects, estimators, covariates",164,2019-05-14 03:36:00.000
31,"brain, eeg, ecg, fmri, sleep",202,2019-05-14 03:36:00.000
32,"market, stock, volatility, financial, portfolio",263,2019-05-14 03:36:00.000
33,"metasurfaces, plasmonic, metasurface, photonic, scattering",308,2019-05-14 03:36:00.000
34,"traffic, vehicles, vehicle, autonomous driving, autonomous vehicles",161,2019-05-14 03:36:00.000
35,"machine translation, word, languages, nmt, neural machine",338,2019-05-14 03:36:00.000
36,"controller, controllers, predictive control, lyapunov, discretetime",133,2019-05-14 03:36:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, defense",207,2019-05-14 03:36:00.000
38,"education, student, courses, ethical, educational",95,2019-05-14 03:36:00.000
39,"planning, robots, robot, swarm, flight",188,2019-05-14 03:36:00.000
40,"recommendation, recommender, items, recommender systems, item",213,2019-05-14 03:36:00.000
41,"nonconvex, proximal, optimization problems, nonsmooth, convergence rate",238,2019-05-14 03:36:00.000
42,"atoms, photon, photons, cavity, laser",265,2019-05-14 03:36:00.000
43,"blockchain, contracts, smart contracts, ethereum, blockchains",246,2019-05-14 03:36:00.000
44,"epidemic, infection, disease, covid19, vaccination",99,2019-05-14 03:36:00.000
45,"superresolution, video, deblurring, rain, image compression",155,2019-05-14 03:36:00.000
46,"spiking, neurons, neuromorphic, spiking neural, snns",184,2019-05-14 03:36:00.000
47,"graphene, bilayer, bilayer graphene, twisted, twisted bilayer",277,2019-05-14 03:36:00.000
48,"action recognition, video, pose estimation, human pose, 3d human",188,2019-05-14 03:36:00.000
49,"graph neural, network embedding, gnns, link prediction, node classification",130,2019-05-14 03:36:00.000
50,"manybody, quantum systems, thermalization, scrambling, chaos",191,2019-05-14 03:36:00.000
51,"traffic, urban, mobility, travel, city",144,2019-05-14 03:36:00.000
52,"navierstokes, euler, compressible, navierstokes equations, incompressible",205,2019-05-14 03:36:00.000
53,"segmentation, object detection, semantic segmentation, semantic, instance segmentation",168,2019-05-14 03:36:00.000
54,"lexicographic, preference models, model user, algorithm genetic, preference model",2,2019-05-14 03:36:00.000
55,"boseeinstein, superfluid, bose, condensate, condensates",254,2019-05-14 03:36:00.000
56,"protein, drug, molecular, molecules, molecule",81,2019-05-14 03:36:00.000
57,"question answering, qa, query, reading comprehension, ranking",149,2019-05-14 03:36:00.000
58,"domain adaptation, active learning, unlabeled, semisupervised, fewshot",126,2019-05-14 03:36:00.000
59,"transformers, language models, heads, one epoch, softmax",21,2019-05-14 03:36:00.000
60,"face recognition, facial, fingerprint, deepfake, forgery",108,2019-05-14 03:36:00.000
61,"molecular, interatomic, crystal, molecules, potential energy",65,2019-05-14 03:36:00.000
62,"plasma, plasmas, electron, ion, tokamak",162,2019-05-14 03:36:00.000
63,"laser, comb, fiber, photonic, combs",153,2019-05-14 03:36:00.000
64,"key distribution, quantum key, qkd, secure, secret",104,2019-05-14 03:36:00.000
65,"laser, beam, electron, plasma, accelerator",180,2019-05-14 03:36:00.000
66,"climate, weather, precipitation, assimilation, forecasting",66,2019-05-14 03:36:00.000
